steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6
0.0,879.0244140625,943.45703125,895.609375,906.958984375,938.9365234375,886.998046875,925.9619140625
10526315.789473685,880.7870751166938,943.1490971546755,898.7997959380004,907.5231887442253,939.874889051485,890.7810236040575,927.6566867511358
21052631.57894737,914.1725787218257,941.3111452012841,951.4262501513199,917.8505354905062,955.9661075084823,954.3849985011727,956.1930179543112
31578947.368421055,948.5761507383014,964.9836312529122,949.0256676607845,931.9795827601425,959.1712582844447,960.0594329675479,960.4514288149381
42105263.15789474,957.408233959589,958.1160729426756,955.7318594449115,962.4256584928306,959.631091257872,961.5386101889148,968.6942823520988
52631578.94736842,948.6286014361394,967.4407461092412,961.2210638965596,957.614032814047,970.0262092130666,959.3024974727895,970.3948904814152
63157894.73684211,961.0057919573586,966.6401889727056,965.3734169429028,967.8500677726936,966.662384514003,962.7873953769082,969.7269620182111
73684210.5263158,960.6821667837635,964.1779504680898,965.3892238120293,969.719846429587,965.3443811527579,967.5840817158243,967.5704555168046
84210526.31578948,964.8753310015987,963.9553610254853,961.2704863191642,968.7914646180383,964.2027135410467,965.742575817161,965.438544571895
94736842.10526316,965.3368493077497,967.9762731826867,965.2710832955104,969.1231685199896,965.8209776785895,970.4801357617999,967.2340074919598
105263157.89473684,964.5174714878325,968.8237708823502,969.074006183656,970.3176421537954,972.0028968240416,971.0738784652667,970.4435349356105
115789473.68421052,966.4894803620441,968.5541548028878,957.6012845580927,971.4202395779935,971.7467229478577,971.5538058294154,970.1091741445653
126315789.47368422,962.4773668516376,972.5791424569001,963.6547661038977,975.7674314969134,972.1863329562455,966.8148385362282,970.1879725258106
136842105.2631579,964.3687194021124,972.8652490341102,968.383990176827,971.9620592798883,975.4095032287767,972.757794303577,965.2706286940218
147368421.0526316,969.259364865163,975.3589902861958,959.6437646913396,966.2312878215082,973.1475701318883,972.6764763702646,964.9251768159734
157894736.84210527,970.0203115880654,971.5582426868978,969.4823970134239,972.894510530699,965.0921222338055,975.3533503698841,962.9031873238054
168421052.63157895,966.7983132148383,973.5022731368891,972.1193892037769,971.4004103642092,968.9791531972278,964.2479138572461,967.1474592467755
178947368.42105263,972.8267727135951,976.0340552633819,969.1944370084852,967.648951068149,972.1745678698258,975.1998840369016,970.7446531311626
189473684.21052632,970.6876454234454,977.3489369421454,971.2046131176302,978.4316920071758,975.6361883749922,974.0478721576384,971.0023139309025
200000000.0,973.6836029855829,976.6688482886866,968.4631917853104,976.6063970766569,974.0809467215287,976.8064807088751,970.3011461559095
